# SAXS profile: number of points = 802, q_min = 0, q_max = 0.9, delta_q = 0.001125
#    q    intensity    error
0.00000    3280256.25000000 492.03845215
0.00112    3279958.75000000 1881.87634277
0.00225    3279077.50000000 2717.53540039
0.00337    3277625.00000000 3226.41210938
0.00450    3275580.75000000 3242.82470703
0.00562    3272955.00000000 4228.24853516
0.00675    3269750.00000000 3801.08422852
0.00787    3265965.25000000 6086.94238281
0.00900    3261607.50000000 6849.37548828
0.01013    3256664.75000000 7608.38281250
0.01125    3251153.25000000 7766.19189453
0.01237    3245077.50000000 7161.47998047
0.01350    3238424.75000000 9156.64550781
0.01462    3231208.00000000 10602.40136719
0.01575    3223441.50000000 11338.45410156
0.01687    3215117.00000000 8620.53222656
0.01800    3206231.50000000 10965.31152344
0.01912    3196818.25000000 10615.43457031
0.02025    3186846.75000000 15237.11132812
0.02137    3176336.50000000 12792.69433594
0.02250    3165301.75000000 14504.99511719
0.02362    3153734.25000000 12814.01660156
0.02475    3141649.50000000 14561.54394531
0.02587    3129041.00000000 15136.73535156
0.02700    3115937.75000000 13086.93847656
0.02812    3102314.25000000 20329.85351562
0.02925    3088206.25000000 14012.73535156
0.03037    3073615.00000000 15911.71972656
0.03150    3058538.00000000 17892.44531250
0.03262    3042990.50000000 16882.89062500
0.03375    3026973.50000000 20511.52734375
0.03487    3010488.25000000 19440.22656250
0.03600    2993564.25000000 21598.56445312
0.03712    2976186.25000000 18722.07031250
0.03825    2958379.75000000 20900.95312500
0.03937    2940147.50000000 28490.02929688
0.04050    2921496.75000000 18186.31640625
0.04162    2902445.75000000 22269.01367188
0.04275    2882989.75000000 22703.54296875
0.04387    2863142.00000000 25054.28125000
0.04500    2842904.50000000 23539.24804688
0.04612    2822313.75000000 19950.23046875
0.04725    2801345.75000000 24329.68750000
0.04837    2780042.50000000 24707.62695312
0.04950    2758382.25000000 25073.69335938
0.05062    2736400.25000000 21189.99804688
0.05175    2714091.75000000 23622.77539062
0.05287    2691462.50000000 26100.45703125
0.05400    2668547.25000000 28620.16796875
0.05512    2645326.75000000 28951.44726562
0.05625    2621835.25000000 27018.01171875
0.05737    2598071.25000000 36398.97656250
0.05850    2574038.25000000 27567.94921875
0.05962    2549761.75000000 27824.27343750
0.06075    2525248.50000000 28068.13476562
0.06187    2500508.50000000 25941.21093750
0.06300    2475555.00000000 33271.45703125
0.06412    2450380.25000000 31118.29492188
0.06525    2425023.00000000 24098.66406250
0.06637    2399475.50000000 26674.66796875
0.06750    2373753.25000000 29268.37500000
0.06862    2347868.75000000 29424.66406250
0.06975    2321823.75000000 32032.45898438
0.07087    2295645.75000000 27224.92187500
0.07200    2269328.00000000 29818.96875000
0.07312    2242897.25000000 37407.32031250
0.07425    2216351.25000000 27518.76953125
0.07537    2189704.25000000 25085.79882812
0.07650    2162971.50000000 32687.90625000
0.07762    2136153.75000000 37789.89453125
0.07875    2109271.25000000 30278.58789062
0.07987    2082335.75000000 35365.87109375
0.08100    2055352.00000000 30336.99609375
0.08212    2028322.12500000 27819.70312500
0.08325    2001270.00000000 30349.25781250
0.08437    1974195.25000000 25282.03710938
0.08550    1947113.50000000 32842.93359375
0.08662    1920031.87500000 30283.70117188
0.08775    1892964.00000000 30240.09765625
0.08887    1865921.00000000 27670.44140625
0.09000    1838900.50000000 35141.38671875
0.09112    1811920.37500000 32550.01562500
0.09225    1784995.50000000 37451.43750000
0.09337    1758116.87500000 27377.17578125
0.09450    1731314.25000000 24801.07617188
0.09562    1704585.50000000 32117.58593750
0.09675    1677931.25000000 24602.66601562
0.09787    1651381.87500000 29390.46875000
0.09900    1624925.75000000 29248.66210938
0.10012    1598575.37500000 29098.06640625
0.10125    1572344.12500000 33762.15625000
0.10237    1546234.00000000 31169.17578125
0.10350    1520261.12500000 38128.14843750
0.10462    1494417.37500000 23677.17382812
0.10575    1468728.87500000 28221.62304688
0.10687    1443187.12500000 30358.34179688
0.10800    1417810.62500000 25499.32226562
0.10912    1392593.87500000 23003.91015625
0.11025    1367554.25000000 22821.06054688
0.11137    1342692.62500000 24896.03710938
0.11250    1318018.50000000 24683.19140625
0.11362    1293532.12500000 24464.73437500
0.11475    1269240.00000000 26444.61523438
0.11587    1245160.50000000 39292.59375000
0.11700    1221282.37500000 23778.36718750
0.11812    1197619.62500000 25679.95703125
0.11925    1174166.87500000 23296.93750000
0.12037    1150946.37500000 33527.06640625
0.12150    1127951.00000000 20726.09765625
0.12262    1105182.87500000 30741.35156250
0.12375    1082651.75000000 24310.94335938
0.12487    1060363.75000000 20020.99218750
0.12600    1038319.93750000 25713.99023438
0.12712    1016518.50000000 27350.69921875
0.12825    994970.31250000 28934.97851562
0.12937    973670.81250000 20945.48437500
0.13050    952631.43750000 22548.78515625
0.13162    931851.18750000 20391.81640625
0.13275    911334.75000000 20112.01757812
0.13387    891082.68750000 25238.80273438
0.13500    871095.87500000 21324.42578125
0.13612    851376.31250000 22765.26953125
0.13725    831929.18750000 22427.76953125
0.13837    812751.93750000 20389.91406250
0.13950    793850.56250000 26768.63867188
0.14062    775223.50000000 26349.84765625
0.14175    756874.43750000 16206.57324219
0.14288    738800.93750000 20727.52148438
0.14400    721006.00000000 23522.82031250
0.14512    703494.56250000 20045.63671875
0.14625    686259.43750000 18189.30664062
0.14737    669302.50000000 14896.16210938
0.14850    652622.75000000 17562.07812500
0.14962    636229.62500000 14374.81152344
0.15075    620111.37500000 15526.81347656
0.15187    604274.00000000 15242.43261719
0.15300    588719.75000000 23119.02343750
