# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.36500001 35227.73046875  2127.40258789
0.36600003 35251.33203125  2910.87890625
0.36700001 35268.74218750  2336.20166016
0.36800003 35280.60937500  2733.89453125
0.36900002 35286.20312500  2350.06127930
0.37000000 35284.78515625  2356.31787109
0.37100002 35278.03515625  2165.36596680
0.37200001 35266.00390625  2565.07275391
0.37300003 35247.99218750  2570.63623047
0.37400001 35224.52343750  2773.93139648
0.37500003 35195.47656250  2779.03515625
0.37600002 35161.03515625  2783.69921875
0.37700000 35121.18750000  2190.50854492
0.37800002 35076.38281250  3389.95727539
0.37900001 35026.64843750  2196.17089844
0.38000003 34971.44921875  2398.34204102
0.38100001 34911.63281250  2400.52392578
0.38200003 34846.86328125  2602.53808594
0.38300002 34777.28906250  2203.48901367
0.38400000 34703.66015625  2805.79101562
0.38500002 34624.75000000  3207.63696289
0.38600001 34542.68359375  2606.76367188
0.38700002 34455.26562500  2807.41528320
0.38800001 34363.80859375  2807.17968750
0.38900003 34268.71484375  2205.19189453
0.39000002 34169.89453125  2004.06445312
0.39100003 34067.11328125  2604.09033203
0.39200002 33960.96093750  2402.39843750
0.39300001 33850.46093750  2800.78710938
0.39400002 33737.90234375  2198.86791992
0.39500001 33620.81250000  2396.49169922
0.39600003 33500.34375000  1994.94555664
0.39700001 33377.30468750  2391.15014648
0.39800003 33251.37109375  2388.11376953
0.39900002 33122.35937500  2583.54418945
0.40000001 32990.69140625  2381.26806641
0.40100002 32855.91015625  2575.57495117
0.40200001 32719.35156250  2175.67333984
0.40300003 32579.65039062  2369.19238281
0.40400001 32437.96875000  2364.72802734
0.40500003 32294.03125000  1966.70666504
0.40600002 32148.27929688  2747.71362305
0.40700001 31999.78515625  2937.58032227
0.40800002 31849.85351562  2735.58398438
0.40900001 31697.94921875  3703.90551758
0.41000003 31545.00390625  2333.69946289
0.41100001 31389.80273438  2327.86791992
0.41200003 31232.98242188  2321.86010742
0.41300002 31075.54296875  2315.74951172
0.41400003 30916.03906250  2501.88061523
0.41500002 30755.71875000  2111.07275391
0.41600001 30593.62890625  1913.63146973
0.41700003 30431.29492188  2480.45507812
0.41800001 30268.40820312  2473.08032227
0.41900003 30103.24414062  2844.75683594
0.42000002 29938.47265625  2079.67602539
0.42100003 29772.72460938  2073.07495117
0.42200002 29606.93164062  1878.55993652
0.42300001 29439.83789062  2808.56054688
0.42400002 29272.37109375  2052.72509766
0.42500001 29105.09570312  2231.77880859
0.42600003 28937.06250000  2965.47045898
0.42700002 28769.31445312  2216.38818359
0.42800003 28601.22656250  1840.48901367
0.42900002 28433.70507812  2017.37145996
0.43000001 28265.65039062  2558.32397461
0.43100002 28097.40234375  2366.92529297
0.43200001 27929.90625000  2358.26171875
0.43300003 27762.36132812  2349.52880859
0.43400002 27595.52343750  2520.85107422
0.43500003 27428.38867188  2152.58007812
0.43600002 27263.19921875  1787.10278320
0.43700001 27096.98828125  1958.29931641
0.43800002 26931.47460938  1950.78149414
0.43900001 26767.18164062  2119.96093750
0.44000003 26603.51953125  1935.80517578
0.44100001 26440.45507812  2278.90283203
0.44200003 26278.27343750  1746.19140625
0.44300002 26116.74609375  2087.25048828
0.44400004 25956.39257812  2252.36621094
0.44500002 25796.13671875  2588.64233398
0.44600001 25637.25976562  2062.77392578
0.44700003 25479.79296875  2568.36328125
0.44800001 25323.00195312  1705.50427246
0.44900003 25167.63476562  2038.57861328
0.45000002 25013.60742188  2538.25585938
0.45100003 24859.93945312  2022.60485840
0.45200002 24708.17773438  2686.27319336
0.45300001 24557.23242188  2508.52124023
0.45400003 24407.68945312  2498.73730469
0.45500001 24259.41015625  2820.88427734
0.45600003 24112.36523438  2644.64428711
0.45700002 23966.96875000  2140.48999023
0.45800003 23822.46875000  1804.19482422
0.45900002 23679.38867188  1960.65344238
0.46000001 23538.70117188  2116.01147461
0.46100003 23398.17382812  2270.09106445
0.46200001 23259.98437500  1776.94653320
0.46300003 23122.70703125  1931.20861816
0.46400002 22986.98828125  2244.67944336
0.46500003 22852.97851562  1597.42333984
0.46600002 22720.58007812  1909.89208984
0.46700001 22589.15429688  1902.91040039
0.46800002 22460.18554688  2528.11865234
0.46900001 22331.81640625  2046.71105957
0.47000003 22205.35156250  1725.68896484
0.47100002 22080.75390625  1875.98095703
0.47200003 21957.38281250  2336.81469727
0.47300002 21835.92187500  1863.04089355
0.47400004 21715.56445312  1856.68090820
0.47500002 21597.14453125  1850.44348145
0.47600001 21480.59375000  2612.79199219
0.47700003 21364.66210938  2144.58496094
0.47800002 21251.02929688  2443.01831055
0.47900003 21139.14648438  1674.22045898
0.48000002 21028.16601562  2730.92797852
0.48100004 20919.96289062  1815.01611328
0.48200002 20811.76367188  1960.15600586
0.48300001 20705.67382812  1954.20153809
0.48400003 20601.56054688  1798.51635742
0.48500001 20498.82812500  1942.67395020
0.48600003 20397.78515625  2086.08154297
0.48700002 20298.18554688  1634.40991211
0.48800004 20199.71679688  2370.63891602
0.48900002 20102.92773438  2216.34790039
0.49000001 20008.01953125  2357.74511719
0.49100003 19914.64453125  1469.70080566
0.49200001 19822.27734375  1905.61462402
0.49300003 19731.78320312  1462.12524414
0.49400002 19642.64648438  1604.31323242
0.49500003 19554.65429688  1454.86633301
0.49600002 19468.64843750  2031.94287109
0.49700001 19383.77929688  1447.96838379
0.49800003 19300.39062500  1878.02465820
0.49900001 19218.23046875  2017.91430664
0.50000000 19137.65039062  2588.75000000
